2026-03-27 22:39:14 | INFO    | Trial 11 | Starting | Params: {'alpha': 0.043627666653657055, 'gamma': 0.9661086090712491, 'epsilon': 1.0, 'epsilon_decay': 0.9961593445935683, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:16 | INFO    | Trial 12 | Starting | Params: {'alpha': 0.03263541566737477, 'gamma': 0.8233944227162744, 'epsilon': 1.0, 'epsilon_decay': 0.9915487320238154, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:58 | INFO    | Trial 14 | Starting | Params: {'alpha': 0.38834388791160535, 'gamma': 0.9234316684795928, 'epsilon': 1.0, 'epsilon_decay': 0.9929592209478448, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:59 | INFO    | Trial 13 | Starting | Params: {'alpha': 0.22356881483848776, 'gamma': 0.9126879123781528, 'epsilon': 1.0, 'epsilon_decay': 0.9914054220540043, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:40:00 | INFO    | Trial 15 | Starting | Params: {'alpha': 0.04164860538320076, 'gamma': 0.9720591053061893, 'epsilon': 1.0, 'epsilon_decay': 0.9963880419356346, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:40:20 | INFO    | Trial 8 | Finished | Score: -343.74
2026-03-27 22:40:24 | INFO    | Trial 9 | Finished | Score: -405.00
2026-03-27 22:40:53 | INFO    | Trial 16 | Starting | Params: {'alpha': 0.024973577679640237, 'gamma': 0.998267284144043, 'epsilon': 1.0, 'epsilon_decay': 0.9901719975036817, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:41:03 | INFO    | Trial 17 | Starting | Params: {'alpha': 0.015665193859698768, 'gamma': 0.9971607902402073, 'epsilon': 1.0, 'epsilon_decay': 0.990040658727114, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:41:50 | INFO    | Trial 12 | Finished | Score: -350.72
2026-03-27 22:41:54 | INFO    | Trial 11 | Finished | Score: -330.42
2026-03-27 22:42:29 | INFO    | Trial 18 | Starting | Params: {'alpha': 0.010548373199009699, 'gamma': 0.9988562940493827, 'epsilon': 1.0, 'epsilon_decay': 0.9942958716201524, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:42:31 | INFO    | Trial 19 | Starting | Params: {'alpha': 0.017373833304438226, 'gamma': 0.9928814878643354, 'epsilon': 1.0, 'epsilon_decay': 0.9941814466418032, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:42:33 | INFO    | Trial 10 | Finished | Score: -433.36
2026-03-27 22:42:55 | INFO    | Trial 13 | Finished | Score: -416.64
2026-03-27 22:42:55 | INFO    | Trial 14 | Finished | Score: -400.46
2026-03-27 22:43:09 | INFO    | Trial 20 | Starting | Params: {'alpha': 0.013897527640743562, 'gamma': 0.9086556552930675, 'epsilon': 1.0, 'epsilon_decay': 0.99417549269292, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:43:19 | INFO    | Trial 15 | Finished | Score: -457.02
2026-03-27 22:43:28 | INFO    | Trial 21 | Starting | Params: {'alpha': 0.01036996234716579, 'gamma': 0.8853738862326775, 'epsilon': 1.0, 'epsilon_decay': 0.9946344580948059, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:43:30 | INFO    | Trial 22 | Starting | Params: {'alpha': 0.011172776522648344, 'gamma': 0.8923855425299665, 'epsilon': 1.0, 'epsilon_decay': 0.9945735191422409, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:43:48 | INFO    | Trial 23 | Starting | Params: {'alpha': 0.017553728933234022, 'gamma': 0.8856828334509435, 'epsilon': 1.0, 'epsilon_decay': 0.9945650926462447, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:43:50 | INFO    | Trial 16 | Finished | Score: -382.84
2026-03-27 22:44:04 | INFO    | Trial 17 | Finished | Score: -360.80
